filepath,filename,label,duration,sample_rate,zero_crossing_rate,spectral_centroid,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms,tempo
Audios/David/Daniel-02_03.ogg,Daniel-02_03.ogg,David,3.9335,16000,0.14545620553861788,1870.8425196032974,3941.7555894308944,-435.47055,80.8652,15.1241455,18.653229,5.789311,2.3496602,-12.6905365,2.4218802,-0.48408985,-0.07036534,-5.904927,-2.1536634,-0.20093825,0.024420943,[156.25]
Audios/David/Daniel-02_01.ogg,Daniel-02_01.ogg,David,3.3335,16000,0.06655040922619047,1578.0484592305304,3404.9851190476193,-506.82373,83.57894,24.670382,25.735228,16.59565,8.115248,-10.934996,2.7560744,2.8187096,-2.6143126,-2.804479,-1.4315411,5.421432,0.011884636,[156.25]
Audios/David/David-02_04.ogg,David-02_04.ogg,David,2.2935,16000,0.12253824869791667,1780.881680159953,3677.191840277778,-423.7832,74.81317,13.651868,20.99905,18.477077,4.85187,-18.155869,10.957615,-4.3143287,-6.102673,-13.120618,-7.374042,-2.8438382,0.03261359,[187.5]
Audios/David/David-02_05.ogg,David-02_05.ogg,David,2.1135,16000,0.14707468516791045,1876.2369204032912,3779.034514925373,-443.03583,75.02536,17.251194,24.383366,23.15555,9.459224,-22.34457,3.022906,-5.265018,-3.267531,-15.633067,-7.3502192,-0.3909458,0.028019158,[78.125]
Audios/David/Daniel-02_04.ogg,Daniel-02_04.ogg,David,3.9135,16000,0.15395944486788618,2019.114944014248,4035.9502032520327,-464.4438,82.12247,14.267235,24.83558,3.0371969,8.19229,-15.948565,-2.0031364,-3.4733927,-2.1670427,-6.02702,-3.0693233,-0.47762033,0.013158645,[156.25]
Audios/David/David-02_01.ogg,David-02_01.ogg,David,2.1935,16000,0.10896456068840579,1642.5324716257137,3579.8233695652175,-407.99707,84.21658,11.490856,20.681389,20.646004,3.0216177,-20.097782,7.0251274,-3.6333973,-6.047036,-16.688755,-7.5131288,-3.193186,0.039089147,[110.29411765]
Audios/David/Daniel-02_05.ogg,Daniel-02_05.ogg,David,3.4535,16000,0.1462673611111111,1845.4360548042416,3717.5925925925926,-446.89432,88.14347,8.418252,22.465368,10.008551,4.2552457,-18.055573,2.3528085,-4.6140137,-1.6777114,-6.0227385,-1.3532939,0.45900956,0.013042318,[156.25]
Audios/David/David-02_02.ogg,David-02_02.ogg,David,2.2135,16000,0.12051478794642857,1759.463629263364,3708.2589285714284,-421.2896,85.43061,11.790092,18.257141,21.130136,2.946184,-22.119019,12.706619,-3.3837583,-7.2843456,-17.764458,-4.9068093,-2.3470476,0.032548454,[170.45454545]
Audios/David/David-02_03.ogg,David-02_03.ogg,David,2.1535,16000,0.10524615119485294,1579.2503643177063,3426.700367647059,-435.0724,89.79271,14.652474,17.184172,22.561325,5.5453367,-19.806423,9.760067,-2.3835835,-7.9931145,-16.520521,-6.394787,-4.714594,0.03295458,[170.45454545]
Audios/David/Irma-02_01.ogg,Irma-02_01.ogg,David,1.7978125,16000,0.15606154057017543,1876.797040748551,3750.2741228070176,-352.52176,78.70388,11.825394,10.745162,11.481538,-19.83936,-1.8466694,1.6091715,-13.824623,-1.8804035,-6.2415447,-0.3843666,-5.093606,0.06658478,[156.25]
Audios/David/Erik-01_02.ogg,Erik-01_02.ogg,David,1.8735,16000,0.11473781779661017,1485.7333142192215,2752.5158898305085,-279.73166,114.25054,-23.852402,7.012989,-4.7472854,11.3595,-12.781639,-11.060418,-5.5926075,-17.078451,-14.607799,-3.0496716,-4.242281,0.062596284,[98.68421053]
Audios/David/Mariana-01_02.ogg,Mariana-01_02.ogg,David,2.0978125,16000,0.11592980587121213,1944.3256445390612,3748.461174242424,-359.79114,66.74913,-2.398187,25.269072,-12.008474,-7.7428226,-22.801285,-6.0531454,-16.543077,-13.290292,-15.231276,-4.2989087,-8.284144,0.05446376,[170.45454545]
Audios/David/Mariana-01_03.ogg,Mariana-01_03.ogg,David,3.0178125,16000,0.16233552631578949,2378.7629083709057,4173.601973684211,-374.70682,51.31389,-7.7397957,14.7460165,-12.440954,0.7055139,-19.034313,-10.8522,-11.123525,-14.94687,-13.0177145,-7.3488626,-8.820515,0.038445693,[125.]
Audios/David/Erik-01_03.ogg,Erik-01_03.ogg,David,2.1935,16000,0.08209493885869565,1188.756687140017,2306.4990942028985,-327.68335,126.509186,-9.826492,2.7536356,2.8953292,2.2582324,-5.707749,-3.6935158,-9.052948,-13.0216465,-13.528948,-5.9907684,-4.034428,0.051986806,[81.52173913]
Audios/David/Irma-02_02.ogg,Irma-02_02.ogg,David,1.5978125,16000,0.1403125,1829.6295814093094,3605.3125,-350.77298,73.64785,11.2074375,16.843891,11.322306,-26.237104,-5.948785,7.6797886,-20.274883,-0.92473936,-7.8092666,-0.74041265,-2.0940306,0.063886195,[170.45454545]
Audios/David/Erik-01_01.ogg,Erik-01_01.ogg,David,2.6535,16000,0.09881518260542169,1807.1581484122803,3726.7507530120483,-352.30197,76.384636,5.863562,16.237167,1.433494,7.7404394,-3.3563604,-3.495836,-2.7866101,-7.896768,-3.717117,-1.0243917,-6.9278893,0.058431543,[117.1875]
Audios/David/Mariana-01_01.ogg,Mariana-01_01.ogg,David,2.1378125,16000,0.16314423973880596,2195.654985366897,3873.250932835821,-391.46774,64.022865,4.226396,7.523093,-5.9191475,-4.604388,-14.00052,-9.124776,-13.721713,-13.415922,-11.884922,-6.6743526,-9.748352,0.049091138,[117.1875]
Audios/David/Erik-03_04.ogg,Erik-03_04.ogg,David,1.4335,16000,0.07260199652777778,1105.9904138140025,2097.7430555555557,-318.69568,117.661934,-8.842248,13.911061,-24.70085,-5.275646,8.359729,-20.072441,-14.437369,-13.235358,-16.089869,-5.5262012,-3.9537838,0.105170935,[85.22727273]
Audios/David/Mariana-03_04.ogg,Mariana-03_04.ogg,David,1.4178125,16000,0.15052083333333333,2264.900297773943,4337.673611111111,-375.18225,56.145958,10.0276785,8.163289,-13.27037,-0.13682386,-18.704817,-16.772715,-11.486625,-8.516252,-15.759572,-4.7496533,-3.129826,0.055414993,[133.92857143]
Audios/David/Mariana-03_05.ogg,Mariana-03_05.ogg,David,1.4778125,16000,0.11062167553191489,1723.7123347372637,3209.2752659574467,-403.05518,77.91134,3.4418485,6.6796765,-20.705902,-5.725616,-8.269495,-10.721796,-7.3921795,-13.489275,-11.011317,-6.7585645,-3.0934598,0.04693745,[234.375]
Audios/David/Erik-03_05.ogg,Erik-03_05.ogg,David,1.6135,16000,0.0714422487745098,1302.8312253476947,2829.5036764705883,-461.51288,86.95051,10.510225,13.754233,-2.860691,3.0294135,-0.61711746,-5.5111012,-3.966871,-2.9977257,-6.5213995,-9.540778,0.2838306,0.027183283,[58.59375]
Audios/David/Irma-02_03.ogg,Irma-02_03.ogg,David,1.7178125,16000,0.15672019675925927,1926.3934156836199,3881.6550925925926,-334.48514,75.42499,6.152431,8.167736,10.530139,-25.632534,-8.384101,3.9231374,-21.538477,-2.6511402,-9.285746,-2.7234402,-2.6645024,0.08015564,[156.25]
